article_id,post_id,poster_id,liker_id,like
65577470,3085542310,146527032,229636481,1
65577470,3085527512,146527032,70253048,1
65577470,3085527512,146527032,229636481,1
65577470,3085526385,70253048,123641341,1
65577470,3085526385,70253048,139219129,1
65577470,3085522621,32281575,146527032,1
65577470,3084923231,70253048,123641341,1
65577470,3084923231,70253048,139219129,1
65577470,3084892774,100793662,229636481,1
65577470,3084859452,227082311,70253048,1
65577470,3084776232,99662817,32281575,1
65577470,3084698064,91941447,70253048,1
65577470,3084698064,91941447,186365792,1
65577470,3084630451,227082311,70253048,1
65577470,3084509356,236199229,70253048,1
65577470,3084509356,236199229,227082311,1
65577470,3084410769,147206167,70253048,1
65577470,3084325552,131428713,32281575,1
65577470,3084325552,131428713,212596660,1
65577380,3086176808,229636481,229636481,1
65577330,3085523322,128145512,32281575,1
65577330,3084950203,52703033,32281575,1
65577330,3084858283,135533965,32281575,1
65577330,3084858283,135533965,52703033,1
65577330,3084637659,135864574,52703033,1
65577330,3084522439,135533965,32281575,1
65577330,3084265228,135864574,52703033,1
65577330,3084202243,131072217,32281575,1
65577310,3084980867,141049168,84136621,1
65577310,3084811614,147926938,141049168,1
65577310,3084305684,184458605,111386716,1
65577310,3084305684,184458605,139636134,1
65577310,3084305684,184458605,141049168,1
65577310,3084305684,184458605,157552804,1
65577310,3084305684,184458605,195564799,1
65577310,3084221184,84136621,141049168,1
65577310,3084211978,84136621,141049168,1
65577310,3084201447,153674835,129898878,1
65577310,3084201447,153674835,144536327,1
65577310,3084201447,153674835,156357920,1
65577310,3084192665,153674835,84136621,1
65577310,3084192665,153674835,111386716,1
65577310,3084192665,153674835,137806887,1
65577310,3084191092,102113073,141049168,1
65577310,3084191092,102113073,156216393,1
65577310,3084188008,125155974,98953956,1
65577310,3084168961,84136621,141049168,1
65577310,3084167407,182093564,98953956,1
65577310,3084167407,182093564,141049168,1
65577310,3084166719,100091398,141049168,1
65577310,3084162780,134001860,137806887,1
65577310,3084143442,84136621,111386716,1
65577310,3084143442,84136621,137806887,1
65577310,3084143442,84136621,141049168,1
65577310,3084133831,134001860,98953956,1
65577310,3084133831,134001860,100091398,1
65577310,3084094751,100091398,98953956,1
65576930,3088177103,160724430,237468946,1
65576930,3088106406,237868473,237468946,1
65576930,3088003007,127257818,237468946,1
