id,article_id,date,message,likes,dislikes,user_id,user_name,user_username,user_location,user_reputation,scraped_date
3093556227,28661,2017-01-11T05:57:34+00:00,"Kdyz CT nerika to, co chcete slyset, tak samozrejme lze. A narod si to proste nenecha libit!

Napriklad Vami citovany rozsudek ulicnoho vyboru nad pani Romancovovou v CT odmitaji sdelit. Tedy CT lze. Logicky!",0,0,120580944,scallop,disqus_cyIPnvR8Op,,4.859222000000001,2017-01-12T00:36:20.910653+00:00
3093554419,28661,2017-01-11T05:55:05+00:00,Všici sů zmanipulovaní.,0,0,120580944,scallop,disqus_cyIPnvR8Op,,4.859222000000001,2017-01-12T00:36:20.910653+00:00
3093552445,28661,2017-01-11T05:52:10+00:00,"Nas politik, ktery se musel za svoji lhavost nejcasteji omlouvat u soudu, byl zvolen prezidentem. Lid rozhodl jasne.

A hlavne nezapomente, ze Bush lhal, ale pan prezident Zeman - podle vseholidove korektnosti -  jen ""rika svuj nazor"" :-)))))  Ostatne George W. Bush argumentoval i prazskou ""irackou stopou"" Muhhamada Atty. A kterypak cesky politik mu tuto lez podstrcil, aby si tim vyslouzil pozvanku do bileho domu? Ale nahlas radsi neodpovidejte, dnes se o tom mluvi jenom septem.",0,0,120580944,scallop,disqus_cyIPnvR8Op,,4.859222000000001,2017-01-12T00:36:20.910653+00:00
3093547866,28661,2017-01-11T05:45:46+00:00,"Kalousek, neosvazaci, 168, bezmozky, krainy, mamlasove ... vseholid si slastne psouknul. A jen proto, ze se jeste porad najde par lidi, kteri se snazi rozlisovat pravdu od lzi.",0,0,120580944,scallop,disqus_cyIPnvR8Op,,4.859222000000001,2017-01-12T00:36:20.910653+00:00
3093078850,28661,2017-01-10T22:07:13+00:00,"Chovancovo centrum pece o lid ma i nazev jako od Mladka
Spise by mu slusel nazev GUMA protoze chce ochranit populaci pred nakazou ktera ji hrozi
A pani reditelka gumaru by mohla mit na kancelari napis JUDr xrc guma CSc",0,0,236538409,joe disqus,disqus_YgaRpTiHZK,,1.232323,2017-01-12T00:36:20.910653+00:00
3093076655,28661,2017-01-10T22:05:37+00:00,"Největší lží minulých měsíců a let je lež evropských a následně i zdejších elit,že islamizace prospěje Evropě.To nastartovalo odpor veřejnosti a následně vlnu mlžení a umělého zesilování významu jiného nepřítele.
Tuto skutečnost autor zcela přeskakuje a ve svém tažení proti lži se zabývá až důsledky tohoto stavu.Tomu se říká pokrytectví.",0,0,96998754,Nutil,nutil,,1.8840569999999999,2017-01-12T00:36:20.910653+00:00
3093072195,28661,2017-01-10T22:02:37+00:00,"Samozřejmě jsme na lži zvyklí z doby vlády jedné strany přes lži V. Havla až po dnešek. A nejsme v tom sami, takový prezident Bush taky nebyl etalon pravdomluvnosti.",0,0,195863702,zurčící potok,zurcpotok,,2.9949730000000003,2017-01-12T00:36:20.910653+00:00
3093065091,28661,2017-01-10T21:57:26+00:00,"Tak, tak, bránit se proti lžím vypuštěním lží vlastních je ta správná propaganda.",0,0,195863702,zurčící potok,zurcpotok,,2.9949730000000003,2017-01-12T00:36:20.910653+00:00
3093060301,28661,2017-01-10T21:54:34+00:00,"<i>Až všichni budeme lháři, to se budeme mít: všecko bude jasné</i>
Zatím lže autor blogu o lhaní pouze Ruska, jako by ostatní nelhali.",0,0,195863702,zurčící potok,zurcpotok,,2.9949730000000003,2017-01-12T00:36:20.910653+00:00
3092969124,28661,2017-01-10T20:56:26+00:00,a molodec je smutný...,0,0,178383514,Czech Mate,Czech_Friend,,6.361917000000001,2017-01-12T00:36:20.910653+00:00
3092880191,28661,2017-01-10T19:54:35+00:00,"aha, už chápu. Milý Ladislave, mne ale Zeman vůbec nezajímá, psal jsem autorovi.-)",0,0,181712941,snímající,snmajc,,1.986659,2017-01-12T00:36:20.910653+00:00
3092876862,28661,2017-01-10T19:52:16+00:00,Kvůli tobě?? Vždyť i to stručné je očividně nad tvé mentální schopnosti.,0,0,111191898,smutný,disqus_ZaTtYnl0aD,,2.083576,2017-01-12T00:36:20.910653+00:00
3092860903,28661,2017-01-10T19:41:35+00:00,"příště se víc snaž, tohle bylo moc stručný",0,0,178383514,Czech Mate,Czech_Friend,,6.361917000000001,2017-01-12T00:36:20.910653+00:00
3092849040,28661,2017-01-10T19:33:44+00:00,"Tušil jsem, že nějaká inteligentní diskuze o předložených faktech nebude.",0,0,111191898,smutný,disqus_ZaTtYnl0aD,,2.083576,2017-01-12T00:36:20.910653+00:00
3092846430,28661,2017-01-10T19:31:59+00:00,"""Tak i ona Zemanova ulhaná „cenzura“ dostane další obrátky. Brzo se odkudsi z tajemna sociálních sítí dozvíme zaručenou zvěst, že mají být ruské a proruské servery zakázány.""
***********************************************
Jestli tomu dobře rozumím, tak jen proto, že má prezident Zeman svůj názor na úřad, který nám má říkat co je a není propaganda a lež, tak proto, podle Kučery, prezident Zeman lže??",1,0,111191898,smutný,disqus_ZaTtYnl0aD,,2.083576,2017-01-12T00:36:20.910653+00:00
3092842421,28661,2017-01-10T19:29:21+00:00,"jste mně připomněl jednoho chlápka, co se v ranejch devadesátejch letech učil v Bavorsku česky - proboha, proč to děláte??? Mne číst....

p.s.že si s vámi cvrknul belgičan mne ani trochu nepřekvapuje, tyhle hanácký typy nezapomínaj :-))))",0,0,181712941,snímající,snmajc,,1.986659,2017-01-12T00:36:20.910653+00:00
3092842122,28661,2017-01-10T19:29:09+00:00,"da, eto Pravda, molodec!",0,0,178383514,Czech Mate,Czech_Friend,,6.361917000000001,2017-01-12T00:36:20.910653+00:00
3092834569,28661,2017-01-10T19:24:22+00:00,"USA jsou jediným okupantem ve světě po II. sv. válce

Americká vojska v Německu mají podle okupačního protokolu z 28. listopadu 1945 na území Německa „časově neomezený status pobytu“ a po dobu 99 let musí navíc německá vláda platit americké straně dodávky energií na zajištění provozu amerických základen, a to z titulu vázací povinnosti náhrady válečných reparací.

 Sovětská vojska byla na území ČSSR dislokována na základě mezistátní dohody a odsouhlasena vládou ČSSR. Nešlo tedy o okupační svaz, opět paradoxně na rozdíl od amerických vojsk tady v Německu, které tu už 71 let od konce II. sv. války působí na základě okupačního dekretu. Obsazení ČSSR ze srpna 1968 bylo okupací, ale vláda ČSSR pobyt legalizovala. Navíc, sovětská vojska po 23 letech z Československa už dávno odešla, zatímco americká okupační vojska v Německu nadále zůstávají a k odchodu se rozhodně nemají a ani o tom neuvažují. 

Ovšem situace je mnohem zajímavější, protože Američané už 71 let okupují nejen Německo, ale také Japonsko. A ani z Japonska se nemají k odchodu. Tam už si Američané musí dokonce za pronájem mamutí základny na Okinawě platit, protože reparační tituly skončily v roce 2001, ale status okupačních amerických vojsk v Japonsku taktéž není nijak časově omezen. Stejně tak působí americká vojska v Itálii, kde ovšem nejsou umístěna na základě titulu okupačních vojsk, ale podle dekretu amerického velení z července 1944 o ustanovení „ochranných vojsk“ na celém území Itálie, a to opět bez časového omezení. Američané mají s italskou vládou uzavřenou dohodu na 99 let o úhradě 50% veškerých nákladů na provoz základen, a to se vším všudy, nejen energií, ale i potravin, veřejné dopravy pro americké vojáky zdarma atd. Ani z Itálie se Američané nemají k odchodu.",1,0,111191898,smutný,disqus_ZaTtYnl0aD,,2.083576,2017-01-12T00:36:20.910653+00:00
3092807538,28661,2017-01-10T19:10:15+00:00,"Přímý odposlech po linii viditelnosti z ambasády na Pariser Platzu rovnou do wc se zlatou mísou podle vás nařídil Putin?
Merkelice jen zabrblala: Koneckonců, NĚJAKÝ spojence mít musíme.",0,0,228320916,Říkejte mi Izmael,kejtemiizmael,,0.293701,2017-01-12T00:36:20.910653+00:00
3092795321,28661,2017-01-10T19:02:12+00:00,"Copak, něco v tom článku není pravda?",1,0,111191898,smutný,disqus_ZaTtYnl0aD,,2.083576,2017-01-12T00:36:20.910653+00:00
3092770823,28661,2017-01-10T18:54:01+00:00,"A kdybyste třeba ještě chtěl vědět, proč to Rusko dělá, tak vám to připomenu. Rusko přišlo o svůj (zhoubný) vliv v zemích střední Evropy, kam se pod rouškou osvoboditele a za pomoci komunistické ideologie vnutilo a násilím drželo více než 40 let. Teď by chtělo zpátky, odložilo komunismus, ale ne imperiální touhy a používá všechny dostupné prostředky, aby toho dosáhlo, včetně informační války. Své odpůrce nazývá fašisty, protože na to mužik slyší. Paranoicky křičí, že je ohroženo, přitom opak je pravdou. Každé narušení jednoty EU a NATO je mu dobré. Mám pokračovat ?",1,0,99127499,Karel IV.,disqus_EsdUUsJ4U1,,2.093086,2017-01-12T00:36:20.910653+00:00
3092766499,28661,2017-01-10T18:51:30+00:00,tak Putler teď platí od slova? můj ty Ivane!,0,0,178383514,Czech Mate,Czech_Friend,,6.361917000000001,2017-01-12T00:36:20.910653+00:00
